"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","AIQA","0","Урок 4: API HTTP-тренажера","12","0","Справочник статус-кодов","0"
"0","AIQA","0","Урок 4: API HTTP-тренажера","4","0","Обновление пользователя","0"
"0","AIQA","0","Урок 4: API HTTP-тренажера","4","0","Валидация создания пользователя","0"
"0","AIQA","0","Урок 4: UI HTTP-тренажера","1","0","PATCH /users/{id}","0"
"0","AIQA","0","Урок 4: API HTTP-тренажера","2","0","HTTP-методы","0"
"0","AIQA","0","Урок 4: API HTTP-тренажера","2","0","Базовые ответы API","0"
"0","AIQA","0","Урок 4: UI HTTP-тренажера","1","0","Стартовое состояние страницы","0"
"0","AIQA","0","Урок 4: API HTTP-тренажера","1","0","Список пользователей","0"
"0","AIQA","0","Урок 4: API HTTP-тренажера","3","0","Создание пользователя","0"
"0","AIQA","0","Урок 4: API HTTP-тренажера","2","0","Получение пользователя","0"
"0","AIQA","0","Урок 4: API HTTP-тренажера","1","0","Сессии и cookie","0"
"0","AIQA","0","Урок 4: API HTTP-тренажера","3","0","Удаление пользователя","0"
"0","AIQA","0","Урок 4: UI HTTP-тренажера","1","0","GET /users/{id}","0"
"0","AIQA","0","Урок 4: UI HTTP-тренажера","1","0","DELETE /users/{id}","0"
"0","AIQA","0","Урок 4: UI HTTP-тренажера","1","0","GET /users","0"
"0","AIQA","0","Урок 4: UI HTTP-тренажера","2","0","Кнопки статус-кодов","0"
"0","AIQA","0","Урок 4: API HTTP-тренажера","1","0","Изоляция сессий","0"
"0","AIQA","0","Урок 4: UI HTTP-тренажера","1","0","POST /users","0"
